date,next_day_high,open,high,low,close,volume,marketCap,SMA_7,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,EMA_50,DEMA_20,TEMA_20,HMA_20,VWAP,RSI_14,RSI_21,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHk_14_3_3,STOCHd_14_3_3,WILLR_14,ROC_10,ROC_21,CCI_14_0.015,MFI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,NATR_14,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,DCL_20_20,DCM_20_20,DCU_20_20,OBV,AD,ADOSC_3_10,CMF_20,ADX_14,DMP_14,DMN_14,AROOND_25,AROONU_25,AROONOSC_25,price_to_sma20,price_to_sma50,sma20_50_ratio,bb_width_pct,bb_position,volume_surge,price_momentum_5,price_momentum_10
2015-07-19,0.03718411036381464,0.04715556026891887,0.03506109127026047,0.054523809681479185,0.04607370919512521,0.01832424679970046,0.04273273470182337,0.040587927766911,0.03437121381825681,0.015380496216145456,0.0011310409910689767,0.03477159380354278,0.02666442041964623,0.01599749312864729,0.045240462074993215,0.050825142127066236,0.05269894870821534,0.04221118838121585,0.5059889950493742,0.528265157957856,0.5994865648602848,0.4275279785578619,0.6146409107646005,0.28116080948348093,0.352308374267313,0.18453092551752115,0.36642753166944975,0.33632833584493227,0.459387735468899,0.5417802175192855,0.03829163379897349,0.03437121381825681,0.04230666100122882,0.1734368666902876,0.4806589539558297,0.12528345222182197,0.19981661612094148,0.028762224913784107,0.030019165073418397,0.03519644535620303,0.04432401386704943,0.04548880265943078,0.04824428884671972,0.1685500186067761,0.09746763596573543,0.14947916315027548,0.30074070793849117,0.5822542632935939,0.3854229075556243,0.25150689550948996,0.040000000000000036,0.72,0.8400000000000001,0.35444621555372474,0.32755888938286615,0.5052741971633519,0.1734368666902876,0.4806589539558297,0.02936509088803506,0.3721951606776929,0.36642753166944975
2015-07-20,0.03817951602355185,0.04634274900876223,0.03718411036381464,0.0548108278771271,0.049488270931643874,0.056745695702870025,0.0460583036991169,0.03939451977304831,0.03489796475252205,0.01610079234898598,0.0009788060437718737,0.03480782136782634,0.02709246652598951,0.01653006218811881,0.045094242683125674,0.050275038223235535,0.05055142806651547,0.044167496237092374,0.5452749473041277,0.5581497145594572,0.5953962981501433,0.42608397297294764,0.6116172553083461,0.23694351119064327,0.2832081870662111,0.29185317542373834,0.33733527934319535,0.3286791599552691,0.4806557358954412,0.5199627132569262,0.03926790162019589,0.03489796475252205,0.0424704811003469,0.16913944503516334,0.5213386024136073,0.12126621396456877,0.18133981293307472,0.029756957229133296,0.030329952638264435,0.0349362544811227,0.04432401386704943,0.04548880265943078,0.04824428884671972,0.1798753001854907,0.7476813355797685,0.1610654546014006,0.31839592440359055,0.5631749586725716,0.4022660907518223,0.23932102870752484,0.0,0.68,0.8400000000000001,0.36851478385096154,0.33751880074164725,0.5037288672457585,0.16913944503516334,0.5213386024136073,0.08321542979692056,0.39508024678530784,0.3373352793431954
2015-07-21,0.036343942824711206,0.04976782233487742,0.03817951602355185,0.056381463639412654,0.04749349420036675,0.057685433381272855,0.04417945695421599,0.03832605848694248,0.0354661570874657,0.016878734854994137,0.0008094757142300679,0.03452349839169966,0.02733038866522941,0.016951916621926966,0.04457866664663357,0.049255167717421555,0.04834905006926171,0.044354398129763384,0.5172222394675493,0.5352669582271784,0.5893253121769011,0.42122685898179574,0.60809402215056,0.21553194550451082,0.23505594988256592,0.22890368550484197,0.3073334197658301,0.30792340007549607,0.47346788819894403,0.5691150971814948,0.040773354417669716,0.0354661570874657,0.042282544993661686,0.16009083079577457,0.4850802373464025,0.11653481729766424,0.1690685649034576,0.030558320401651184,0.03041159053983289,0.03441371501630397,0.04432401386704943,0.04548880265943078,0.04824428884671972,0.16843300707128472,0.694708518991205,0.15787135335648034,0.3067906205181699,0.5473803761561364,0.4023150570297012,0.229041664007086,0.0,0.64,0.8200000000000001,0.35619886554976976,0.3275878290856802,0.5020553912302597,0.16009083079577457,0.4850802373464025,0.08560658066438787,0.410052020971237,0.3073334197658301
2015-07-22,0.03662870523015882,0.04772384436917976,0.036343942824711206,0.055720181044764616,0.048376427393884924,0.041282947953370064,0.045072672416712756,0.0375312848914251,0.03618361150764171,0.01763171364254945,0.0007927941208503153,0.03442179542121526,0.02761985410630796,0.017395269234048882,0.044262708014866425,0.04859253445362932,0.04643806537964423,0.043814703324704496,0.5280707146985013,0.5433244038836287,0.5844146613058181,0.4209498361479141,0.6043440954668938,0.22580099447500335,0.21619900944853634,0.2142551650149047,0.26864201084302114,0.3211479264638223,0.4572769465573543,0.516808590685304,0.04297003549109901,0.03618361150764171,0.04179445999447573,0.14569848649537692,0.4874159420946551,0.11006616104804828,0.15008960413955694,0.03162930916631235,0.030573260601369445,0.033805600980155504,0.04432401386704943,0.04548880265943078,0.04824428884671972,0.1782053574996867,0.7418807483228602,0.16801346012983048,0.34475338068008393,0.5301909387594638,0.390462315048292,0.23563809077296774,0.0,0.6,0.8,0.3571210884238752,0.3282145730646258,0.5018910688810589,0.14569848649537695,0.4874159420946551,0.0614788660060821,0.41011017323562715,0.26864201084302114
2015-07-23,0.04361431835956919,0.048794106244738455,0.03662870523015882,0.05657021684929653,0.0476310919273506,0.03685437435983285,0.04439743611724678,0.03734239758020785,0.03682967457628594,0.01836356873061007,0.0008440187071734329,0.03421807136841737,0.027828917414076892,0.017787450615008193,0.0438291262520657,0.047814302330905,0.04499055452735501,0.04394434072532438,0.5166992882651549,0.534346117614192,0.5787286742240368,0.42009299477242595,0.6002883303020201,0.17988717531605813,0.19676419148886148,0.1589534920312854,0.3105989220610236,0.32616031405552753,0.45078741974353503,0.49667805143868515,0.04518453318307303,0.03682967457628594,0.0411442600677876,0.13030093761002173,0.46294864406079933,0.10281296572544724,0.13272628049427967,0.032634479322457444,0.030645294056804606,0.03308065215837597,0.04483151771624028,0.04571184991292265,0.04824428884671972,0.16889016449286798,0.702749661357801,0.16413993633716573,0.31173889627177487,0.5148512959602062,0.3871410491733087,0.23039487831618713,0.0,0.56,0.78,0.35056078685807257,0.3230469040343865,0.5012863627674322,0.1303009376100217,0.46294864406079933,0.05560376714697629,0.4216625813065264,0.3105989220610236
2015-07-24,0.04452199117768152,0.0479455440343628,0.04361431835956919,0.05627650662163086,0.055251165978264405,0.10499843775584439,0.05176607689954027,0.038156357621570436,0.03772363733519457,0.019292277958867343,0.0009036544147233982,0.03526924194250258,0.028631205923612457,0.018504503964183794,0.04482554388573223,0.04913808222296434,0.04484886993460091,0.048768991736070966,0.6076410102315158,0.6026686190676199,0.5826556401266377,0.4393865936386819,0.5974888627512813,0.2332428667966171,0.2027969751566879,0.3833442141919482,0.35585797754758036,0.3509032282991321,0.5309466654079243,0.4228768332355624,0.04706643734791649,0.03772363733519457,0.04120642190291335,0.12058800990258156,0.5885481429904291,0.10867983364632866,0.1421162480757022,0.032791356069327704,0.031481412621918614,0.0344946972624911,0.04808518906738757,0.047149831498947914,0.04824428884671972,0.1866634703390162,0.7580901839272502,0.7703124807717716,0.33709787518259066,0.5142498115185298,0.4711572422827675,0.20164196489698177,0.0,0.52,0.76,0.38347681334818695,0.34770679159156265,0.5011625357470897,0.12058800990258156,0.5885481429904291,0.17796685839912776,0.4683538263003913,0.3558579775475803
2015-07-25,0.04593498674740171,0.05552187517347995,0.04452199117768152,0.06298536291325152,0.05550649319485479,0.04749844554708704,0.052056085800032736,0.03942419616869608,0.038269248860836935,0.020213391631112465,0.0009144876006337288,0.0361955478177961,0.02939170463371754,0.019202500905150632,0.045701859091036856,0.050248664475589955,0.04572000941101817,0.051377421566959125,0.6104254773789196,0.6048294745798317,0.5852677910094649,0.4562488473993586,0.5956191550242286,0.2950770732802839,0.22639414381294634,0.39323714941603993,0.36151379570357495,0.34073306098851175,0.580222437667908,0.3930878700038541,0.047697050642527716,0.038269248860836935,0.04167534045303789,0.11980048393346801,0.5838318529936843,0.10405653125776626,0.1309647083083898,0.034221547106954575,0.0322608745354519,0.034715455242377624,0.052115087748859534,0.0489500802894719,0.04824428884671972,0.19514206685269597,0.7597591689072565,0.8018598587775981,0.3009613110906972,0.5152516773775322,0.4689645963675731,0.19270234280507417,0.12,0.48,0.6799999999999999,0.38213535866747417,0.34542757817773945,0.49808293058441855,0.11980048393346801,0.5838318529936843,0.07079233790843281,0.4506222262251015,0.36151379570357484
2015-07-26,0.04877802385031482,0.05581196203876715,0.04593498674740171,0.06402584988730642,0.05791909922019833,0.02268873950740158,0.05441521227459445,0.041162317914685165,0.03903550423508495,0.021177642241124506,0.000907356230145373,0.03736936213575903,0.030289705392629207,0.019980993524573387,0.04687662022076855,0.05175558596901708,0.047457734667475715,0.05301030330534484,0.6371437458401845,0.6254747850353144,0.5892644613195888,0.48036001812356777,0.594837758497339,0.4234726080665415,0.3093654470094941,0.5306003346306086,0.39485471574992775,0.32367360023633596,0.6405630458478544,0.32055366270779573,0.04865679029428438,0.03903550423508495,0.04227164194232125,0.11795533681816792,0.6179108805872907,0.10032743548482281,0.12102326571458683,0.0356916078323678,0.03321202033616333,0.03521747590751212,0.052115087748859534,0.0489500802894719,0.04824428884671972,0.20118625395500445,0.7663171410018881,0.8150424533258218,0.36817094460893035,0.5186447065203811,0.47475293196613016,0.18271895084578588,0.07999999999999996,0.43999999999999995,0.6799999999999999,0.39047279211924624,0.3510359917784601,0.4965529399373374,0.11795533681816792,0.6179108805872907,0.04383214879627709,0.47544457779624294,0.39485471574992775
2015-07-27,0.048104776488561374,0.058230325680075246,0.04877802385031482,0.06386993464206814,0.05848164702301473,0.0858749452385712,0.05499933742680074,0.04248550785261607,0.039919590212078804,0.02218939240069151,0.0009517344065261835,0.038448651303873205,0.031163297917881527,0.020751756904776375,0.04796076364482882,0.05308811040155348,0.0496070700053558,0.054103254351078656,0.6434212374777468,0.6303187755552748,0.5922076819408564,0.5022932426912694,0.594792477953238,0.5807932435006037,0.42774981571318293,0.8387161049054431,0.3934002948668242,0.3321572024762132,0.6693967686957918,0.4518812169685661,0.05019086416465213,0.039919590212078804,0.04259966625993039,0.11156031821027126,0.6177182278030238,0.10242648357429562,0.1272257874844653,0.03640901322810264,0.034126519233982466,0.03629873658894467,0.052115087748859534,0.0489500802894719,0.04824428884671972,0.21165331691620515,0.7686221311017267,0.8197185231503148,0.40007107958194954,0.5265528169700724,0.48831514405688364,0.16459729315855556,0.040000000000000036,0.4,0.6799999999999999,0.3890259029390604,0.34957358480753903,0.49564168191171887,0.11156031821027126,0.6177182278030238,0.14956867901588874,0.47361828068225387,0.39340029486682415
2015-07-28,0.046833376380204905,0.05882632245917663,0.048104776488561374,0.06747245519530609,0.05896182145674045,0.06789294595898832,0.05550023398219439,0.044151825527574795,0.04067853527590737,0.02312752629744841,0.0009690902050003558,0.03943520458551564,0.03200769814986115,0.02151134820414735,0.04895131699775035,0.05425341656006921,0.05180050018197979,0.055239022057608,0.6490486835895692,0.6345923914038776,0.5942898847231801,0.516649120251378,0.5951850413395299,0.7454777005326324,0.5811675574134846,0.8699239639771967,0.4094131177727534,0.3403973619612379,0.6801278369024502,0.5374176731919847,0.051280073298373474,0.04067853527590737,0.04307162807021192,0.10833626338722818,0.6153950163558506,0.09633766253435355,0.11362973853738936,0.03805360233885369,0.03499957140488574,0.03650294817719835,0.053998892721335845,0.049798920881831354,0.04824428884671972,0.21948061311886846,0.7647943258685673,0.8151245901678761,0.3613222734082497,0.5338960617662702,0.47300241981086927,0.15917953284567823,0.0,0.36,0.6799999999999999,0.3877720547173663,0.34806601345378885,0.4942716835228387,0.10833626338722818,0.6153950163558506,0.1152571331204886,0.4806189818776529,0.40941311777275335
