date,open,high,low,close,volume,marketCap,next_day_high,SMA_7,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,EMA_50,DEMA_20,TEMA_20,HMA_20,VWAP,RSI_14,RSI_21,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHk_14_3_3,STOCHd_14_3_3,WILLR_14,ROC_10,ROC_21,CCI_14_0.015,MFI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,NATR_14,KCLe_20_2.0,KCBe_20_2.0,KCUe_20_2.0,DCL_20_20,DCM_20_20,DCU_20_20,OBV,AD,ADOSC_3_10,CMF_20,ADX_14,DMP_14,DMN_14,AROOND_25,AROONU_25,AROONOSC_25,price_to_sma20,price_to_sma50,sma20_50_ratio,bb_width_pct,bb_position,volume_surge,price_momentum_5,price_momentum_10
2015-07-19 00:00:00+00:00,274.766998291,275.6700134277,272.5130004883,273.6140136719,15332500.0,3940581987.65,278.9809875488,281.6318533761286,275.08944778443504,252.22719879150802,247.00847015380648,278.6186948119062,270.4518866837616,260.0922237640616,285.87358802701715,286.0516588965167,288.38127420335775,273.9323425293,52.61658103339654,55.185153045017074,8.166808128144623,-1.9910889576746662,10.15789708581929,29.84178611078165,37.37986296180563,-81.54690744824788,1.6291087470116972,9.880291203284063,-54.83525274883502,55.029383899845854,247.439445880682,275.08944778443504,302.7394496881881,20.10255364314815,0.47331945730653346,10.170074897708126,4.008172613112259,252.64034250744888,274.0760617800712,295.5117810526935,253.5050048828,283.94950866700003,314.3940124512,160312996.0,-1852647.0938115362,-18717262.999317773,-0.03551603163601877,47.41703399319863,29.336484129933304,17.238971208316084,4.0000000000000036,72.0,68.0,-0.536347040723715,8.479186615425412,1.090641489508136,20.10255364314815,0.47331945730653346,0.40296415517871687,-4.817986288181375,1.6291087470116983
2015-07-20 00:00:00+00:00,273.4989929199,278.9809875488,272.9599914551,278.9809875488,22711400.0,4018965413.38,280.5469970703,279.7642822265714,275.88489761353503,253.20301849365597,246.83213012695103,278.67443215604374,271.0836719330237,260.8329595987572,285.63979655111365,285.16673600424997,284.90042992729184,276.9739888509,55.93160800921023,57.45731431481114,7.590760223020027,-2.0537094902394095,9.644469713259436,25.57548528078206,30.855462008869598,-70.81468245762616,-2.0755174359492297,8.52588949949835,-37.08503385479377,53.045629158891536,248.75306011162834,275.88489761353503,303.0167351154417,19.668954507189795,0.5570563997931838,9.873712017628733,3.6946837380594175,254.00211896972993,274.54319756756917,295.0842761654084,253.5050048828,283.94950866700003,314.3940124512,183024396.0,20858752.906188466,-10525833.606595058,-0.017619554262565965,46.15518826419356,30.453900124213014,16.488089790841787,0.0,68.0,68.0,1.1222397318761608,10.180751086026204,1.089579813285075,19.668954507189795,0.5570563997931838,0.6145163572763478,-2.3958458453063325,-2.0755174359492257
2015-07-21 00:00:00+00:00,278.8819885254,280.5469970703,275.4190063477,275.8330078125,22930700.0,3974491488.65,277.6659851074,278.1027134486714,276.745497894295,254.261158752446,246.63613510131603,278.2372899493447,271.4354745907627,261.4211967836099,284.8169567830538,283.53333543393387,281.3741522969916,277.26633707683334,53.564464593165745,55.71750892377003,6.801815358582019,-2.274123483741935,9.075938842323954,23.509592881536715,26.30895475770015,-77.1096314495158,-5.895973593189433,4.850769859156331,-43.08399320362988,57.514805535210286,250.7923440131451,276.745497894295,302.6986517754449,18.755971879306156,0.48242043941993207,9.534731810032602,3.486482151389639,255.10449110283187,274.666036638515,294.2275821741981,253.5050048828,283.94950866700003,314.3940124512,160093696.0,1630611.628477119,-12335945.29733528,-0.02938344618697492,45.11058381525458,30.4571486611104,15.854685203179955,0.0,64.0,64.0,-0.3297217438903131,8.484130712649199,1.0884300978260713,18.755971879306156,0.48242043941993207,0.6239100443321761,-0.8112444334171798,-5.89597359318943
2015-07-22 00:00:00+00:00,275.6570129395,277.6659851074,274.3810119629,277.2219848633,19389800.0,3995572963.8,278.1109924316,276.87313842774284,277.835997009285,255.28953857422403,246.6168350219705,278.08108916687627,271.864104981321,262.04083553183307,284.3138665606324,282.47707755930173,278.3496922229671,276.42299397786667,54.47988056180123,56.330126878860455,6.216984185555248,-2.287163725414965,8.504147910970213,24.500400864782836,24.528493009033877,-78.57448349850952,-10.822962570998172,7.19237127223312,-56.59691178906503,52.758840829219864,253.79787631610296,277.835997009285,301.87411770246706,17.303820204679035,0.4872283662724276,9.08832033603646,3.1644733602014403,256.58520990963837,274.9094602789707,293.23371064830303,253.5050048828,283.94950866700003,314.3940124512,179483496.0,15778922.24372281,-7453260.76621126,0.009098080200115223,43.973728012916155,29.670810157763423,16.261150689856038,0.0,60.0,60.0,-0.22099805374192275,8.591204485529378,1.0883172046962108,17.303820204679038,0.4872283662724276,0.5291238039672961,-0.8050896411318509,-10.822962570998174
2015-07-23 00:00:00+00:00,277.341003418,278.1109924316,275.716003418,276.0490112305,18531300.0,3979625902.37,289.2529907227,276.58171299527146,278.82164764405,256.293038940436,246.67610504150198,277.76846179204915,272.1740980368158,262.5901757553102,283.6249300805702,281.24155728412154,276.0803396844358,276.6253356933667,53.520336928097834,55.647496227768755,5.59436375523336,-2.3278273245894834,7.922191079822843,20.07041141836774,22.693468388229103,-84.10465079687145,-5.480142423858649,8.07988992681316,-62.013054310873805,50.92847324050609,256.86410009150393,278.82164764405,300.7791951965961,15.750245892368865,0.4368637046802501,8.610225101610345,2.869876468012277,257.9827168899871,275.01798894102114,292.0532609920552,254.1999969482,284.2970046997,314.3940124512,160952196.0,2400938.3054986726,-9034861.00507627,-0.024367551579448882,42.959211858623036,29.45046964571583,15.938068970217396,0.0,56.00000000000001,56.00000000000001,-0.9944121760192786,7.708353052325934,1.0879017580686214,15.750245892368863,0.4368637046802501,0.5060433531035035,0.4176086117626543,-5.480142423858647
2015-07-24 00:00:00+00:00,276.0050048828,289.2529907227,275.2539978027,288.2780151367,37199400.0,4157148933.75,290.733001709,277.8397173200429,280.19124908448,257.57211914063004,246.7451251220685,279.3853161527647,273.3669807849554,263.5975420055608,285.21066832953454,283.346411685811,275.8592049530268,284.2616678873666,61.194180738488285,60.842143875631486,6.0183353678093,-1.5230845696108348,7.541419937420135,25.218429041271282,23.26308044147396,-61.66557858080518,0.2831749051426307,12.460995249995564,4.8876476069447365,44.21810367952783,259.49879514680185,280.19124908448,300.8837030221581,14.770235691007736,0.6954037466164205,8.995137193275388,3.029192467860985,258.2015085477693,276.2808485787049,294.36018860964043,258.7009887695,286.54750061034997,314.3940124512,198151596.0,34418750.31254635,1326957.3544555977,0.0013379611900161243,42.91943155274353,35.02429953674223,14.166342039700897,0.0,52.0,52.0,2.886159392430485,11.921280959491215,1.087816686135584,14.770235691007736,0.6954037466164205,0.9867493604262295,5.359375153344326,0.28317490514262467
2015-07-25 00:00:00+00:00,288.1640014648,290.733001709,286.0020141602,288.6969909668,20662200.0,4164295441.65,293.0520019531,279.8105730329286,281.03044891358,258.847019042974,246.75766510009598,280.8178815087701,274.5025370947217,264.58183412168785,286.61257073659294,285.12437855705326,277.22163761552656,288.477335612,61.42913962778932,61.006436499073175,6.315344414048411,-0.9808604186973788,7.29620483274579,31.184495187975784,25.491111882538274,-60.676285058396005,1.0033904385358412,10.660214076705467,46.01308141576095,41.5095447019106,260.38767164477576,281.03044891358,301.67322618238427,14.690776283214873,0.6856955087338419,8.690554998927364,2.839988544367475,260.2046997212389,277.463338329952,294.72197693866514,264.3859863281,289.38999938965003,314.3940124512,218813796.0,37296730.538746685,6360971.541286416,-0.03529241391205761,42.98569183739905,34.87883430093196,13.615491105816275,12.0,48.0,36.0,2.7280111756066443,11.531897115983504,1.0857009284967778,14.690776283214873,0.6856955087338419,0.5657119764846579,3.482675827972126,1.0033904385358339
2015-07-26 00:00:00+00:00,288.6400146484,293.0520019531,287.7059936523,292.6860046387,16032300.0,4222888242.3,297.7739868164,282.5351431710429,282.21324920654996,260.18835906983,246.7494100952135,282.6437466056824,275.8494606164978,265.68395845568836,288.50269668584673,287.55464737605877,279.95943998527633,291.14800008136666,63.683680388867806,62.57612600275847,6.794285989184573,-0.4015350748489741,7.195821064033547,43.5727232746199,33.32521583462233,-46.93996653693914,5.249044710421088,7.63957982254533,96.37319905319325,34.914378001145195,261.74628992080187,282.21324920654996,302.68020849229805,14.504605537331425,0.7558454161640568,8.451658750207008,2.671315878244136,262.2798700370352,278.9131160736423,295.5463621102494,264.3859863281,289.38999938965003,314.3940124512,234846096.0,51133830.526514515,12244784.473708212,0.03283564829068158,43.21009620733484,35.26284596326111,13.000324074417,7.9999999999999964,43.99999999999999,36.0,3.7109368399940403,12.49004593635497,1.0846497906957044,14.504605537331425,0.7558454161640568,0.45979829996545557,6.109855002435394,5.249044710421091
2015-07-27 00:00:00+00:00,292.6390075684,297.7739868164,287.450012207,293.6239929199,30592000.0,4237522843.2,296.6489868164,284.6270010812,283.58409881592496,261.603218994146,246.800785064696,284.3330152694082,277.16609263897203,266.7796460817359,290.2580430849125,289.72085083653167,283.38303568258505,292.94933064776666,64.2133876487051,62.94442083133605,7.166922630436147,-0.023118746877919705,7.190041377314067,58.751786298403054,44.50300158699958,-16.128389509455687,5.063837816703613,9.141729268926543,120.43775057738264,46.855324832181445,263.93262242931513,283.58409881592496,303.2355752025348,13.859364095985963,0.7554488504185883,8.58539562640085,2.776551700283244,263.2985532431366,280.3141519637621,297.32975068438753,264.3859863281,289.38999938965003,314.3940124512,265438096.0,57131307.95453263,15446924.902822148,0.06517170289999641,43.7331139794002,36.16259469433484,11.883684919213277,4.0000000000000036,40.0,36.0,3.5403586258522717,12.24020638923045,1.0840237360468827,13.859364095985963,0.7554488504185883,0.8751865085330828,5.916561078187188,5.063837816703609
2015-07-28 00:00:00+00:00,293.6329956055,296.6489868164,293.4230041504,294.4270019531,25453600.0,4250112630.4,294.5360107422,287.28328595842856,284.766198730475,262.921979064946,246.82088012695152,285.8859362976685,278.44467851409263,267.8638561159071,291.8711600283563,291.62854246313015,286.9198823369018,294.83299763996666,64.68824277108213,63.26934934015164,7.44125778357585,0.2009731250094262,7.240284658566424,74.64134678377496,58.98861878559931,-13.007603602280327,7.102921017796532,10.600773511988764,129.39387272403053,54.632719923625764,265.4959775153808,284.766198730475,304.03641994556926,13.534064998587196,0.750666640377167,8.202580337573194,2.545872721552708,265.64869451722836,281.6582329151276,297.66777131302683,267.0859985352,290.7400054932,314.3940124512,290891696.0,47521164.73447285,12294852.699002266,0.025893389076613663,44.218773298079526,35.14671291063771,11.549847728196772,0.0,36.0,36.0,3.39253860384206,11.982650899022678,1.083082516506287,13.534064998587198,0.750666640377167,0.7403928704869511,6.657510070649897,7.102921017796526
